Embedding-based	Giggle-legacy
Fetal_Heart_Active_TSS	Fetal_Heart_Active_TSS
Duodenum_Mucosa_Active_TSS	Fetal_Heart_Flanking_Active_TSS
Skeletal_Muscle_Male_Active_TSS	Neurosphere_Cultured_Cells_Cortex_Derived_Flanking_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Active_TSS	CD34_Primary_Cells_Flanking_Active_TSS
Psoas_Muscle_Repressed_PolyComb	CD4pp_CD25__Th_Primary_Cells_Flanking_Active_TSS
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Active_TSS	CD19_Primary_Cells_Cord_BI_Flanking_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_ZNF_genes_and_repeats	HUVEC_Umbilical_Vein_Endothelial_Cells_Flanking_Active_TSS
Lung_Repressed_PolyComb	CD34_Cultured_Cells_Flanking_Active_TSS
Colonic_Mucosa_Active_TSS	Adipose_Nuclei_Flanking_Active_TSS
Skeletal_Muscle_Male_Transcr_at_gene_5_and_3	Adult_Liver_Flanking_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Genic_enhancers	Mobilized_CD34_Primary_Cells_Female_Flanking_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Active_TSS	Skeletal_Muscle_Female_Flanking_Active_TSS
Brain_Germinal_Matrix_Active_TSS	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Flanking_Active_TSS
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Active_TSS	Mobilized_CD34_Primary_Cells_Male_Flanking_Active_TSS
4star_Genic_enhancers	Right_Atrium_Active_TSS
Right_Ventricle_Genic_enhancers	CD19_Primary_Cells_Peripheral_UW_Flanking_Active_TSS
Placenta_Amnion_Genic_enhancers	CD14_Primary_Cells_Flanking_Active_TSS
Osteoblasts_Active_TSS	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Active_TSS
CD3_Primary_Cells_Peripheral_UW_Active_TSS	CD56_Primary_Cells_Flanking_Active_TSS
H1_Derived_Neuronal_Progenitor_Cultured_Cells_Repressed_PolyComb	Fetal_Adrenal_Gland_Flanking_Active_TSS
Esophagus_Repressed_PolyComb	Skeletal_Muscle_Female_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_ZNF_genes_and_repeats	Placenta_Amnion_Active_TSS
Fetal_Intestine_Small_Transcr_at_gene_5_and_3	CD15_Primary_Cells_Flanking_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Genic_enhancers	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Active_TSS
Rectal_Mucosa.Donor_29_Active_TSS	Small_Intestine_Active_TSS
Adult_Liver_Active_TSS	Left_Ventricle_Active_TSS
Spleen_Genic_enhancers	Right_Ventricle_Active_TSS
iPS_15b_Cell_Line_Bivalent_Poised_TSS	Fetal_Adrenal_Gland_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Transcr_at_gene_5_and_3	H9_Derived_Neuron_Cultured_Cells_Active_TSS
Fetal_Muscle_Trunk_Active_TSS	CD4pp_CD25pp_CD127__Treg_Primary_Cells_Flanking_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Active_TSS	Neurosphere_Cultured_Cells_Cortex_Derived_Active_TSS
Rectal_Mucosa.Donor_31_Active_TSS	Fetal_Muscle_Trunk_Active_TSS
H1_BMP4_Derived_Trophoblast_Cultured_Cells_Genic_enhancers	HUVEC_Umbilical_Vein_Endothelial_Cells_Active_TSS
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Active_TSS	Fetal_Muscle_Leg_Active_TSS
H1_Derived_Mesenchymal_Stem_Cells_Genic_enhancers	Fetal_Stomach_Active_TSS
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS	Breast_vHMEC_Active_TSS
Fetal_Brain_Female_Active_TSS	Lung_Active_TSS
NH_A_Astrocytes_Active_TSS	Sigmoid_Colon_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Active_TSS	NH_A_Astrocytes_Active_TSS
Colonic_Mucosa_Genic_enhancers	Dnd41_TCell_Leukemia_Active_TSS
Brain_Hippocampus_Middle_Active_TSS	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Flanking_Active_TSS
Lung_Genic_enhancers	Stomach_Mucosa_Active_TSS
