Embedding-based	Giggle-legacy
H9_Derived_Neuron_Cultured_Cells_Flanking_Active_TSS	H9_Derived_Neuron_Cultured_Cells_Flanking_Active_TSS
HUVEC_Umbilical_Vein_Endothelial_Cells_Flanking_Active_TSS	H9_Derived_Neuron_Cultured_Cells_Active_TSS
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Flanking_Active_TSS	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Active_TSS
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Flanking_Active_TSS	Fetal_Kidney_Active_TSS
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Flanking_Active_TSS	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Active_TSS
CD3_Primary_Cells_Cord_BI_Transcr_at_gene_5_and_3	HUES48_Cell_Line_Active_TSS
HeLa_S3_Cervical_Carcinoma_Flanking_Active_TSS	HUES64_Cell_Line_Active_TSS
H9_Derived_Neuronal_Progenitor_Cultured_Cells_Transcr_at_gene_5_and_3	iPS_18_Cell_Line_Active_TSS
Duodenum_Smooth_Muscle_Transcr_at_gene_5_and_3	H1_Cell_Line_Active_TSS
CD8_Memory_Primary_Cells_Transcr_at_gene_5_and_3	IMR90_Cell_Line_Active_TSS
H9_Derived_Neuron_Cultured_Cells_Transcr_at_gene_5_and_3	iPS_DF_6.9_Cell_Line_Active_TSS
iPS_15b_Cell_Line_Genic_enhancers	Fetal_Intestine_Large_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Enhancers	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Active_TSS
Mobilized_CD34_Primary_Cells_Male_Transcr_at_gene_5_and_3	Fetal_Intestine_Small_Active_TSS
Rectal_Mucosa.Donor_29_Transcr_at_gene_5_and_3	Breast_vHMEC_Active_TSS
Adipose_Nuclei_Flanking_Active_TSS	Fetal_Stomach_Active_TSS
CD4_Memory_Primary_Cells_Transcr_at_gene_5_and_3	H1_BMP4_Derived_Mesendoderm_Cultured_Cells_Active_TSS
Fetal_Brain_Female_Transcr_at_gene_5_and_3	Small_Intestine_Active_TSS
CD3_Primary_Cells_Cord_BI_Flanking_Active_TSS	H9_Cell_Line_Active_TSS
Sigmoid_Colon_Enhancers	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Active_TSS
Psoas_Muscle_Enhancers	HSMM_Skeletal_Muscle_Myoblasts_Active_TSS
HSMM_Skeletal_Muscle_Myoblasts_Transcr_at_gene_5_and_3	Sigmoid_Colon_Active_TSS
Left_Ventricle_Transcr_at_gene_5_and_3	Left_Ventricle_Active_TSS
Brain_Mid_Frontal_Lobe_Enhancers	H1_Derived_Neuronal_Progenitor_Cultured_Cells_Active_TSS
Brain_Substantia_Nigra_Genic_enhancers	4star_Active_TSS
CD4pp_CD25__Th_Primary_Cells_Transcr_at_gene_5_and_3	Placenta_Amnion_Active_TSS
Sigmoid_Colon_Genic_enhancers	NHDF_Ad_Adult_Dermal_Fibroblasts_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Enhancers	Fetal_Lung_Active_TSS
Stomach_Smooth_Muscle_Enhancers	HUES6_Cell_Line_Active_TSS
Rectal_Mucosa.Donor_29_Genic_enhancers	NHLF_Lung_Fibroblasts_Active_TSS
Brain_Angular_Gyrus_Genic_enhancers	iPS_15b_Cell_Line_Active_TSS
CD34_Cultured_Cells_Flanking_Active_TSS	Psoas_Muscle_Active_TSS
HepG2_Hepatocellular_Carcinoma_Flanking_Active_TSS	Stomach_Mucosa_Active_TSS
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Transcr_at_gene_5_and_3	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Flanking_Active_TSS
H1_Derived_Mesenchymal_Stem_Cells_ZNF_genes_and_repeats	Muscle_Satellite_Cultured_Cells_Active_TSS
Duodenum_Smooth_Muscle_Genic_enhancers	NHEK_Epidermal_Keratinocytes_Active_TSS
