name	Embedding-based	Giggle-legacy
HeLa_S3_Cervical_Carcinoma_Strong_transcription	0.8305124934199525	0.8619233718018472
Aorta_Repressed_PolyComb	0.5803244134036887	0.7569847600010566
Colon_Smooth_Muscle_Enhancers	0.8412477714047953	0.8451727393934091
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Weak_Repressed_PolyComb	0.8076167261451683	0.9472316420047788
NHLF_Lung_Fibroblasts_Bivalent_Enhancer	0.8833028482125758	0.8128776959002781
Small_Intestine_Repressed_PolyComb	0.9001206064373072	0.7681474834214287
Fetal_Thymus_Heterochromatin	0.7559209366548371	0.873822621441597
iPS_20b_Cell_Line_Quiescent_Low	0.9755154025661742	0.6594746029547718
Fetal_Kidney_ZNF_genes_and_repeats	0.7553194185800626	0.9680809132086197
NHEK_Epidermal_Keratinocytes_Active_TSS	0.9168450201797588	0.8375806102763503
HUES64_Cell_Line_Strong_transcription	0.7913481649747295	0.7713374798208591
Fetal_Heart_Flanking_Bivalent_TSS_Enh	0.8016147567147531	0.9314157613316116
A549_EtOH_0.02pct_Lung_Carcinoma_Flanking_Active_TSS	0.8123701810581732	0.9294895098386713
H9_Derived_Neuronal_Progenitor_Cultured_Cells_Repressed_PolyComb	0.8163261618954528	0.8275066197038349
ES_WA7_Cell_Line_Bivalent_Poised_TSS	0.7579554447618378	0.8466688895001838
CD34_Primary_Cells_Strong_transcription	0.8554570064047932	0.8869663223902675
Rectal_Mucosa.Donor_31_Flanking_Active_TSS	0.8539873633702716	0.7469575064684966
iPS_18_Cell_Line_Bivalent_Poised_TSS	0.7459365068753383	0.8547900897892157
iPS_15b_Cell_Line_Enhancers	0.8463197818104751	0.8768023917833416
Stomach_Smooth_Muscle_Bivalent_Enhancer	0.874155026296139	0.9189875163371418
Adult_Liver_Heterochromatin	0.9080007517132705	0.7940275671443268
HUVEC_Umbilical_Vein_Endothelial_Cells_Weak_Repressed_PolyComb	0.9628773563864588	0.887185347848999
Adult_Liver_Flanking_Bivalent_TSS_Enh	0.8374203562763276	0.9255020478429221
Stomach_Smooth_Muscle_ZNF_genes_and_repeats	0.8169484306428867	0.9761128180922303
iPS_DF_6.9_Cell_Line_Strong_transcription	0.8016963350856727	0.9271115566635599
K562_Leukemia_Heterochromatin	0.8774044188245055	0.7666022363742392
Fetal_Heart_Strong_transcription	0.619853288142843	0.9772833162058905
CD14_Primary_Cells_Strong_transcription	0.7684986373859942	0.8032927797144029
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Genic_enhancers	0.7718228038913192	0.8491494545304722
GM12878_Lymphoblastoid_Weak_Repressed_PolyComb	0.9560151755098658	0.8812537606082337
CD15_Primary_Cells_Active_TSS	0.7708912116600408	0.8950419836646756
Ovary_Bivalent_Enhancer	0.75284832621332	0.8466115075056792
H1_Derived_Neuronal_Progenitor_Cultured_Cells_Genic_enhancers	0.6312310885073086	0.7662873750361213
Neurosphere_Cultured_Cells_Cortex_Derived_Weak_transcription	0.9540240217191227	0.8135428085979906
iPS_18_Cell_Line_Flanking_Active_TSS	0.857396259671749	0.8904696018035534
Fetal_Adrenal_Gland_Flanking_Active_TSS	0.8740752785021672	0.7460018081382381
H1_Derived_Mesenchymal_Stem_Cells_Flanking_Active_TSS	0.678056456680164	0.7535884106622508
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Quiescent_Low	0.9484338492017331	0.6567195725417703
Psoas_Muscle_Repressed_PolyComb	0.6626388471001785	0.8176490539624125
Spleen_Active_TSS	0.8858873815351885	0.8605683752220437
Fetal_Kidney_Bivalent_Poised_TSS	0.628180448630962	0.8378191834738676
K562_Leukemia_Quiescent_Low	0.976331017929539	0.5933052571897625
NHEK_Epidermal_Keratinocytes_Heterochromatin	0.8521584198910365	0.768158940066307
Colonic_Mucosa_Active_TSS	0.8663787335806661	0.8695471899820372
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Flanking_Bivalent_TSS_Enh	0.718448290526178	0.8503476852496815
HeLa_S3_Cervical_Carcinoma_Enhancers	0.8718437892620445	0.9191737134415091
Adult_Liver_Repressed_PolyComb	0.7543709745736724	0.8640674752427294
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Enhancers	0.8465417743633507	0.8823682784458876
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Enhancers	0.8656825323853576	0.9206919185977678
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS	0.8166598871629328	0.8799406415870368
